COUNTRY,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Morocco,EMRO,REPORTING,2023-05-14,55389602.0,25020168,150.064,67.786,23521989,63.727,2021-01-28,10.0,6884356.0,18.651
Mozambique,AFRO,REPORTING,2023-07-02,34950858.0,22869646,111.823,73.17,21329745,68.243,2021-03-08,3.0,2323562.0,7.434
Northern Mariana Islands (Commonwealth of the),WPRO,REPORTING,2023-05-30,123536.0,46824,214.632,81.352,45953,79.839,2020-12-19,3.0,26121.0,45.383
Norway,EURO,REPORTING,2023-09-03,12335349.0,4346149,229.8,80.109,4061312,74.859,2020-12-23,4.0,3020434.0,55.673
Panama,AMRO,REPORTING,2023-10-06,9169341.0,3746041,212.511,86.819,3175368,73.593,2021-01-20,2.0,1770362.0,41.03
Peru,AMRO,REPORTING,2023-11-17,90951865.0,30542485,275.847,92.632,28700007,87.044,2021-02-09,4.0,22241901.0,67.457
Poland,EURO,REPORTING,2023-10-01,58240570.0,22984543,153.4,61.041,22705868,60.301,2020-12-23,5.0,12534539.0,33.289
Puerto Rico,AMRO,REPORTING,2023-06-02,7846764.0,2905470,274.281,101.56,2688410,93.972,,4.0,1808780.0,63.225
Sao Tome and Principe,AFRO,REPORTING,2023-07-30,263863.0,140256,120.398,63.997,111986,51.098,2021-03-15,2.0,34624.0,15.799
Suriname,AMRO,REPORTING,2023-06-02,554588.0,267820,94.538,45.654,237879,40.55,2021-02-23,5.0,48889.0,8.334
Azerbaijan,EURO,REPORTING,2023-09-24,13829360.0,5436662,136.4,52.717,4888112,47.398,2021-01-20,5.0,3504588.0,33.982
Belgium,EURO,REPORTING,2023-09-03,29120974.0,9255132,252.7,79.665,9158814,78.836,2020-12-30,5.0,7245372.0,62.365
Bhutan,SEARO,REPORTING,2022-10-30,2011426.0,699116,260.68,90.605,677669,87.826,2021-03-27,5.0,634641.0,82.249
Bosnia and Herzegovina,EURO,REPORTING,2022-01-29,1924950.0,943394,,28.842,846080,25.867,,4.0,,
China,WPRO,REPORTING,2023-04-20,3516880717.0,1318026807,239.034,89.583,1284479582,87.303,2020-07-22,8.0,834060133.0,56.689
Cook Islands,WPRO,REPORTING,2023-01-31,40080.0,15112,228.194,86.04,14728,83.853,2021-05-17,1.0,10240.0,58.301
Czechia,EURO,REPORTING,2023-10-01,18618084.0,6972320,174.1,66.298,6887986,65.496,2020-12-23,9.0,4366166.0,41.516
Djibouti,EMRO,REPORTING,2023-10-08,442199.0,421573,44.757,42.669,401208,40.608,2021-03-15,11.0,,
Dominican Republic,AMRO,REPORTING,2023-11-17,16413338.0,7360900,151.304,67.855,6126215,56.474,2021-02-16,5.0,2571636.0,23.706
Germany,EURO,REPORTING,2023-09-03,193241457.0,64868618,232.4,77.932,63566137,76.368,2020-12-23,9.0,52143826.0,62.645
Gibraltar,EURO,OWID,2022-12-16,132810.0,42175,394.2,125.182,41465,123.074,,2.0,49170.0,145.944
Guatemala,AMRO,REPORTING,2023-11-17,20383072.0,8937923,113.773,49.889,7130756,39.802,2021-02-25,5.0,3723701.0,20.785
Israel,EURO,REPORTING,2022-06-05,17915305.0,7055466,207.0,79.274,6385731,71.749,2020-12-16,3.0,4474108.0,50.271
Kazakhstan,EURO,REPORTING,2023-04-30,38355605.0,12443364,204.3,64.821,13070774,68.089,2021-04-07,5.0,6801526.0,35.431
Kuwait,EMRO,REPORTING,2023-11-14,8261198.0,3457487,193.445,80.961,3346164,78.354,2020-12-28,10.0,1457547.0,34.13
Lao People's Democratic Republic,WPRO,REPORTING,2023-05-21,13879410.0,6324678,190.768,86.93,5691962,78.234,2020-11-25,8.0,2451034.0,33.689
Micronesia (Federated States of),WPRO,REPORTING,2023-03-28,198749.0,83871,172.791,72.917,80910,70.342,2021-01-13,4.0,30537.0,26.549
Rwanda,AFRO,REPORTING,2023-06-04,27322059.0,10884714,210.945,84.037,10399665,80.293,2021-03-05,7.0,4225194.0,32.621
"Saint Helena, Ascension and Tristan da Cunha",AFRO,OWID,2021-05-05,7892.0,4361,129.995,71.833,3531,58.162,,1.0,,
Saint Lucia,AMRO,REPORTING,2023-06-02,122977.0,60140,66.971,32.751,54971,29.936,2021-02-17,5.0,7866.0,4.284
Serbia,EURO,REPORTING,2023-03-05,6722671.0,3398116,97.1,46.57,3324555,45.562,2020-12-23,5.0,0.0,0.0
